name:'Average_and_Instantaneous_Acceleration',Kpt,Prq->name:'Motion_with_Constant_Acceleration'@Kpt|Prq->name:'Free_Fall'@Kpt|Prq->name:'Finding_Velocity_and_Displacement_from_Acceleration'@Kpt|Prq->name:'Acceleration_Vector'@Kpt|Prq->name:'Newtons_First_Law'@Kpt|Prq->name:'Newtons_Second_Law'@Kpt|Prq->name:'Centripetal_Force'@Kpt|Prq->name:'Rotation_with_Constant_Angular_Acceleration'@Kpt|Prq->name:'Relating_Angular_and_Translational_Quantities'@Kpt
name:'Displacement_and_Velocity_Vectors',Kpt,Prq->name:'Acceleration_Vector'@Kpt|Prq->name:'Uniform_Circular_Motion'@Kpt|Prq->name:'Relative_Motion_in_One_and_Two_Dimensions'@Kpt
name:'Acceleration_Vector',Kpt,Prq->name:'Projectile_Motion'@Kpt|Prq->name:'Uniform_Circular_Motion'@Kpt|Prq->name:'Relative_Motion_in_One_and_Two_Dimensions'@Kpt
name:'Uniform_Circular_Motion',Kpt,Prq->name:'Centripetal_Force'@Kpt
name:'Forces',Kpt,Prq->name:'Newtons_First_Law'@Kpt|Prq->name:'Newtons_Second_Law'@Kpt|Prq->name:'Newtons_Third_Law'@Kpt|Prq->name:'Newtons_Third_Law'@Kpt|Prq->name:'Common_Forces'@Kpt|Prq->name:'Drawing_Free_Body_Diagrams'@Kpt|Prq->name:'Conservative_and_Non_Conservative_Forces'@Kpt|Prq->name:'Fluids_Density_and_Pressure'@Kpt|Prq->name:'Friction'@Kpt|Prq->name:'Magnetic_Force_on_a_Current_Carrying_Conductor'@Kpt|Prq->name:'Force_and_Torque_on_a_Current_Loop'@Kpt
name:'Newtons_First_Law',Kpt,Prq->name:'Newtons_Second_Law'@Kpt|Prq->name:'Conditions_for_Static_Equilibrium'@Kpt|Prq->name:'Solving_Problems_with_Newtons_Laws'@Kpt
name:'Mass_and_Weight',Kpt,Prq->name:'Newtons_Second_Law'@Kpt|Prq->name:'Center_of_Mass'@Kpt|Prq->name:'Moment_of_Inertia_and_Rotational_Kinetic_Energy'@Kpt|Prq->name:'Linear_Momentum'@Kpt
name:'Newtons_Second_Law',Kpt,Prq->name:'Rolling_Motion'@Kpt|Prq->name:'Solving_Problems_with_Newtons_Laws'@Kpt|Prq->name:'Applications_of_Magnetic_Forces_and_Fields'@Kpt
name:'Newtons_Third_Law',Kpt,Prq->name:'Solving_Problems_with_Newtons_Laws'@Kpt
name:'Common_Forces',Kpt,Prq->name:'Drag_Force_and_Terminal_Speed'@Kpt
name:'Drawing_Free_Body_Diagrams',Kpt,Prq->name:'Solving_Problems_with_Newtons_Laws'@Kpt|Prq->name:'Rolling_Motion'@Kpt|Prq->name:'Conditions_for_Static_Equilibrium'@Kpt
name:'Drag_Force_and_Terminal_Speed',Kpt,Prq->name:'Drawing_Free_Body_Diagrams'@Kpt
name:'Work',Kpt,Prq->name:'Kinetic_Energy'@Kpt|Prq->name:'Work_Energy_Theorem'@Kpt|Prq->name:'Power'@Kpt
name:'Kinetic_Energy',Kpt,Prq->name:'Potential_Energy_of_a_System'@Kpt|Prq->name:'Moment_of_Inertia_and_Rotational_Kinetic_Energy'@Kpt
name:'Work_Energy_Theorem',Kpt,Prq->name:'Bernoullis_Equation'@Kpt|Prq->name:'Energy_in_Simple_Harmonic_Motion'@Kpt|Prq->name:'Applications_of_Magnetic_Forces_and_Fields'@Kpt
name:'Potential_Energy_of_a_System',Kpt,Prq->name:'Potential_Energy_Diagrams_and_Stability'@Kpt|Prq->name:'Gravitational_Potential_Energy_and_Total_Energy'@Kpt
name:'Conservative_and_Non_Conservative_Forces',Kpt,Prq->name:'Conservation_of_Energy'@Kpt|Prq->name:'Conservation_of_Linear_Momentum'@Kpt
name:'Linear_Momentum',Kpt,Prq->name:'Impulse_and_Collisions'@Kpt|Prq->name:'Conservation_of_Linear_Momentum'@Kpt|Prq->name:'Angular_Momentum'@Kpt
name:'Impulse_and_Collisions',Kpt,Prq->name:'Types_of_Collisions'@Kpt|Prq->name:'Collisions_in_Multiple_Dimensions'@Kpt
name:'Conservation_of_Linear_Momentum',Kpt,Prq->name:'Collisions_in_Multiple_Dimensions'@Kpt|Prq->name:'Elasticity_and_Plasticity'@Kpt|Prq->name:'Applications_of_Magnetic_Forces_and_Fields'@Kpt
name:'Center_of_Mass',Kpt,Prq->name:'Impulse_and_Collisions'@Kpt
name:'Rotational_Variables',Kpt,Prq->name:'Rotation_with_Constant_Angular_Acceleration'@Kpt|Prq->name:'Relating_Angular_and_Translational_Quantities'@Kpt|Prq->name:'Rolling_Motion'@Kpt|Prq->name:'Angular_Momentum'@Kpt
name:'Moment_of_Inertia_and_Rotational_Kinetic_Energy',Kpt,Prq->name:'Calculating_Moments_of_Inertia'@Kpt|Prq->name:'Work_and_Power_for_Rotational_Motion'@Kpt
name:'Calculating_Moments_of_Inertia',Kpt,Prq->name:'Newtons_Second_Law_for_Rotation'@Kpt|Prq->name:'Work_and_Power_for_Rotational_Motion'@Kpt
name:'Torque',Kpt,Prq->name:'Newtons_Second_Law_for_Rotation'@Kpt|Prq->name:'Work_and_Power_for_Rotational_Motion'@Kpt|Prq->name:'Force_and_Torque_on_a_Current_Loop'@Kpt
